City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,sussex,41.1834,-74.6663,21.07,64,75,0.0,US,1717980344
422,crane,31.3974,-102.3501,35.79,23,26,7.79,US,1717980344
423,xai-xai,-25.0519,33.6442,18.29,68,39,2.73,MZ,1717980344
424,davlekanovo,54.2215,55.0343,14.7,90,9,1.87,RU,1717980344
425,santa ana,33.7456,-117.8678,28.53,66,40,4.63,US,1717980229
426,whitecourt,54.1502,-115.6855,11.58,66,100,2.06,CA,1717980345
427,mount isa,-20.7333,139.5,21.87,33,6,4.12,AU,1717980345
428,rakops,-21.0167,24.3333,11.03,59,0,5.05,BW,1717980345
429,labytnangi,66.6572,66.4183,9.98,79,52,1.93,RU,1717980346
430,igarka,67.4667,86.5833,7.23,95,91,6.26,RU,1717980346
431,kalianget,-7.05,113.9333,28.66,76,14,5.51,ID,1717980346
432,mata-utu,-13.2816,-176.1745,27.49,75,74,9.8,WF,1717980346
433,exeter,50.7236,-3.5275,13.3,88,100,0.45,GB,1717980347
434,awjilah,29.1081,21.2869,25.58,34,0,2.76,LY,1717980347
435,siguiri,11.6667,-9.5,26.39,77,88,1.03,GN,1717980347
436,miri,4.4148,114.0089,28.08,89,40,0.0,MY,1717980347
437,lodwar,3.1191,35.5973,28.98,45,100,6.0,KE,1717980348
438,urangan,-25.3,152.9,20.11,56,0,4.92,AU,1717980348
439,bilmak,47.3624,36.6511,18.18,74,100,1.1,UA,1717980348
440,akureyri,65.6835,-18.0878,4.96,87,100,2.57,IS,1717980349
441,chibougamau,49.9168,-74.3659,13.79,100,100,3.09,CA,1717980349
442,buka,40.8108,69.1986,24.72,34,13,2.49,UZ,1717980349
443,flin flon,54.7682,-101.865,13.62,60,6,3.31,CA,1717980349
444,el rama,12.1596,-84.2195,26.41,92,100,1.66,NI,1717980350
445,chonchi,-42.6128,-73.8092,9.56,93,100,2.39,CL,1717980350
446,kinablangan,7.6947,126.5503,26.56,80,100,1.82,PH,1717980350
447,new plymouth,-39.0667,174.0833,16.0,100,45,5.71,NZ,1717980340
448,tena,-0.9833,-77.8167,21.65,98,62,1.18,EC,1717980351
449,kiuruvesi,63.65,26.6167,6.14,97,100,1.96,FI,1717980351
450,fisterra,42.9049,-9.2629,13.75,80,5,10.23,ES,1717980351
451,xilin hot,43.9667,116.0333,26.33,22,96,8.82,CN,1717980352
452,lobujya,27.95,86.8167,0.85,46,0,1.36,NP,1717980352
453,port augusta,-32.5,137.7667,19.27,36,98,6.84,AU,1717980352
454,wewak,-3.5534,143.6268,29.54,73,45,2.9,PG,1717980352
455,trondheim,63.4305,10.3951,12.22,79,100,2.24,NO,1717980353
456,mar del plata,-38.0023,-57.5575,14.49,90,40,5.36,AR,1717980353
457,asmar,35.0333,71.3581,17.84,38,1,4.22,AF,1717980353
458,puerto lempira,15.2667,-83.7667,27.08,78,40,2.57,HN,1717980354
459,santa elena de uairen,4.6167,-61.1333,19.73,95,99,1.6,VE,1717980354
460,taroa,8.7058,171.2275,28.68,77,39,7.08,MH,1717980354
461,tual,-5.6667,132.75,26.92,84,15,9.6,ID,1717980354
462,hpa-an,16.8906,97.6333,26.48,90,100,1.24,MM,1717980355
463,salahonda,2.1019,-78.7217,26.52,85,99,6.95,CO,1717980355
464,jabor,5.921,169.6434,28.81,77,24,6.1,MH,1717980355
465,coronel suarez,-37.4547,-61.9334,12.24,51,99,4.79,AR,1717980355
466,goz beida,13.95,20.55,28.74,46,100,2.32,TD,1717980356
467,selfoss,63.9331,-20.9971,7.25,72,1,2.63,IS,1717980356
468,jayapura,-2.5333,140.7,29.66,71,14,1.48,ID,1717980356
469,thika,-1.0333,37.0693,17.76,95,54,0.76,KE,1717980357
470,huilong,31.8111,121.655,26.29,57,100,3.18,CN,1717980357
471,al ghayzah,16.2079,52.176,29.31,84,5,1.76,YE,1717980357
472,oued zem,32.8627,-6.5736,16.48,68,100,2.2,MA,1717980357
473,bukhara,39.7747,64.4286,21.97,60,0,3.09,UZ,1717980358
474,howard springs,-12.497,131.047,24.93,74,7,3.35,AU,1717980358
475,vila franca do campo,37.7167,-25.4333,18.27,99,8,2.34,PT,1717980358
476,lubango,-14.9172,13.4925,15.92,55,20,3.09,AO,1717980359
477,siuna,13.7332,-84.7773,25.19,95,100,1.25,NI,1717980359
478,airuk,7.2772,168.8203,28.63,78,28,6.62,MH,1717980359
479,sangmelima,2.9333,11.9833,19.62,99,85,1.05,CM,1717980359
480,nizhnevartovsk,60.9344,76.5531,18.01,45,0,3.0,RU,1717980360
481,quellon,-43.1167,-73.6167,9.95,86,100,5.59,CL,1717980360
482,nantucket,41.2835,-70.0995,16.68,88,0,3.09,US,1717980360
483,kham sakae saeng,15.3322,102.1728,28.25,73,100,2.89,TH,1717980360
484,kuala terengganu,5.3302,103.1408,25.97,89,20,1.54,MY,1717980361
485,nasiriyah,31.0521,46.261,36.93,16,100,6.13,IQ,1717980361
486,sorong,-0.8833,131.25,27.16,82,100,1.27,ID,1717980361
487,dayr hafir,36.1569,37.7078,24.79,55,0,4.19,SY,1717980361
488,sievi,63.9,24.5,5.13,96,35,2.23,FI,1717980362
489,aripuana,-9.1667,-60.6333,24.11,54,13,0.83,BR,1717980362
490,newman,37.3138,-121.0208,32.38,36,1,1.79,US,1717980362
491,dobryanka,58.4619,56.4165,12.65,96,19,1.64,RU,1717980362
492,rio claro,-22.4114,-47.5614,18.61,51,7,2.46,BR,1717980363
493,nyurba,63.2842,118.3319,20.13,63,68,1.02,RU,1717980363
494,mareeba,-17.0,145.4333,23.6,57,98,1.92,AU,1717980363
495,lake mills,43.0814,-88.9118,19.1,59,100,4.12,US,1717980364
